nom,note,date,texte
mehrnaz khedri,1.0,2022 07 31,"The worst restaurant ever , I got poisoning with awful poutine in this place, after 3 days still suffering"
Lauren McCall,4.0,2022 07 31,"Extremely pleasant waiter, Vincent, and delicious food (I had the fish tacos). Great red wine too!"
decousus thibault,5.0,2022 07 31,The staff was nice and the food was tasty! Even if fries seems to be a little bit fat but tasty. We could enjoy a great burger just next to the jazz festival :)
Brian Dodds,4.0,2022 07 31,Good staff and big clean restaurant with nice patio. The drink selection was good however the food was average.
Frank Roda,5.0,2022 07 31,I don't know who cleans the bathroom at nights but keep him. I can eat off the floors.. amazing
Destiny Malenfant,1.0,2022 07 31,"I was charged 8.25$ for a vodka water, when a shot is 3.50$. I brought it up to my server and she did not fix her mistake and still charged me for a cocktail, would not recommend."
Kamelia B,4.0,2022 07 31,"Food was good this time but service was zero without any respect from waiter the guy who had long hair. I gave tips but just because of food. My choice was light because i went to gym before having meal and I didn’t order drinks, it seems that guy was not happy when he found out. Sorry 🤪"
Mark Houle,5.0,2022 07 31,"The best waitress, great food, and fun environment. La cage is consistently great."
Saeed Rafiee,4.0,2022 07 31,Nice terrace. Beer was good.Fast service. Food was good.
Daniel Cordero,1.0,2022 07 31,this is my first bad review ever. La Cage deserves it. wack customer service. the whole place is a dub tbh. Dino you're a clown my guy
Jérôme Carrier,1.0,2022 06 30,"Long story short the branches of the Cage aux Sports are simply to AVOID. Poor quality food, few clientele, moribund atmosphere! Les Cages aux sports no longer have a monopoly on sports entertainment, I suggest you go elsewhere!"
Mellisa Alexandrovitch,5.0,2022 06 30,
Angeles Lamas,5.0,2022 06 30,I loved it so much that I would go again.
Ben Crutchley,4.0,2022 06 30,
Houij Fadi,1.0,2022 06 30,
Rémi Speybroek,5.0,2022 06 30,
Aaron Chamberlain,4.0,2022 06 30,"We only came here for a drink to end the night so I can't review the food. However, we were shown to a table quickly and our orders taken promptly. The waitress was very helpful and took time to ask us about our evening and recommend other places to visit during our stay in Montreal. Overall a pleasant experience due to the attentive staff."
vemba kengue,5.0,2022 06 30,
Isabelle Breton,5.0,2022 06 30,
Steve Rainville,5.0,2022 06 30,"We had such a great time watching the final game of the NHL playoffs there. The large screens with surround sound made it for a lively and fun atmosphere. Our bartender Saskia truly went above and beyond at every turn. She was so attentive, always with a smile, and with great recommendations. She truly made us feel right at home. Food was good, and will definitely return again soon. Merci Sas!!!"
Jeremi Lafond,1.0,2022 06 30,"We showed up to eat while listening to the qualifications for the Montreal Grand Prix, my wings were reheated wings and we were refused to put on the sound of Formula 1 because 5 people in a restaurant of 200 were listening to golf, biggest event in the country and we had no sound, when we asked for explanations the manager didn't want to know! Really disappointed"
Rosana Garcia,5.0,2022 06 30,the best
Matthew Muirhead,5.0,2022 06 30,"Clean, fast service."
Michal Brichacek,5.0,2022 06 30,A cool sports bar. We came here for a few drinks while watching the F1 race. Lots of TVs around. The free popcorn is a fun touch!
IB,1.0,2022 06 30,"We ordered the Blitz burgers on June 15 and had them delivered by Uber. Instead of the blitzes we were sent the Vegans. Nobody wanted to correct this mistake! La Cage does not want to know anything and Uber too, a rotten service!"
Js L,3.0,2022 06 30,Meal: good (vegetarian poke) Service: courteous and friendly Atmosphere: good Time: 20 minutes Price: $20-30 per person
Guillaume Pelletier,5.0,2022 06 30,
S.E. McKenzie,2.0,2022 06 30,"I found it was nice to get frozen boxed wings there. I waited in line, then waited for the waitress to go back and forth to speak to her manager and then said they didn't sell them anymore."
Catalina Romero,5.0,2022 05 31,
Gaby Barrera,4.0,2022 05 31,"The place is very crowded, sports atmosphere. They give you popcorn when you arrive and they have a wide variety of local beers."
Lorraine Hall,5.0,2022 05 31,Excellent meal and atmosphere. A bit noisy but not unpleasant Very good service even for those going to a show.
ashlyn p,1.0,2022 05 31,
David Rheault,5.0,2022 05 31,Excellent service despite the labor shortage. Fish & chip to try. It's excellent.
Y J,1.0,2022 05 31,"This is the third and last time I order for a take out. Yesterday I ordered a starter, an all for one using their app. I received confirmation that the order would be ready at 6:38 p.m. I show up at the scheduled time and give my name. I am asked to wait. What I do for 10 minutes. I ask what is happening and I am told that there was an error in the order. Really! an all for one? I am asked to wait again. What I do for 10 minutes. I still wonder what happens. After several questions, they finally admit that my start was served at a table by mistake. I had to wait 30 minutes in total for a relatively simple dish. Is this normal? Can I cancel my order when I have already paid with their app? No! Can I reduce the tip amount with the app because I'm not satisfied? No! My other 2 orders also had problems. I learned my lesson, I will not order take out at this restaurant."
Félicia Daigle,5.0,2022 05 31,
Doris Perron,3.0,2022 05 31,
Peter K,5.0,2022 05 31,
Jf Lafleur,5.0,2022 05 31,"Thank you to the entire Cage complex Desjardins team. Unparalleled service, family and warm. Good work !! Probably the best Cage customer experience in Quebec 10/10"
Francesco Lateana,5.0,2022 05 31,Quality at the right price. Spacious venue to enjoy sporting events. Helpful and professional staff.
Clément Nicaise,5.0,2022 05 31,"The beers and meals were very good every time I went there during my trip to Montreal. Thanks also to Jane, at the bar, for her friendly and efficient service! Goodbye !"
Loïc Senterre,5.0,2022 05 31,
Andre,5.0,2022 05 31,
styve lo,4.0,2022 05 31,"Nice place and good service and on the food side it's ok nothing has been so rushed, more for watching sports in a cage atmosphere"
Me Jérémie John Martin,5.0,2022 05 31,With our server Hugo we had a great family experience at lunchtime on the weekend.
Mohamad Nizar Kezzo,3.0,2022 05 31,"The staff was very welcoming and professional. We had fish and chips and a burger. The burger was mediocre. The fish and chips were decent. The light, music, and seating made discussions difficult."
Michel Seguin,4.0,2022 05 31,"Friendly place, the staff is TOP, kind, available, attentive. The food is good and plentiful."
James Abdy,5.0,2022 05 31,Fun place to watch sports
-Hailey-,5.0,2022 05 31,The poutine was super good. This place is amazing
newsha mazaheri,1.0,2022 05 31,We booked two tables for 20 ppl for a birthday celebration a week in advance and asked specifically if we can bring a cake. We were told it's totally fine to bring the cake we just have to order food and they can't keep the cake in the fridge. We showed and they didn't let us have the cake saying that it was a miscommunication and it's impossible to serve cake brought from outside and we can alternatively order the cake they have on the menu. If we knew this in advance we could have easily reserved somewhere else. I don't believe this is the first time they're dealing with a birthday party and find this beyond unprofessional and disappointing.
Sebastien Harrison,3.0,2022 05 31,
Maxime Cormier,2.0,2022 05 31,"It took 1 hour to get our bill, we were the last table in the restaurant. Once the invoice arrived, we had extra items that we hadn't ordered. Very bad end of meal."
Amin Marshal,2.0,2022 05 31,"Went on a Tuesday night to watch a game. Tasty burger and wings. Awesome cider!The service was really subpar however, the waitress forgot to bring napkins and finally did it after asking three times, brought the wrong wings, did not bring plates, and finally took forever to bring the bills."
I Love my cat,5.0,2022 05 31,
Guilherme Padilha,3.0,2022 05 31,"The staff did nothing to make our experience better. We were denied a patio table even though there were several empty tables outside (with covid, why do they prefer seating customers at an indoor table?). We asked to be moved to an outdoor table once one became available, and they told us it is not possible (why? how hard can it be?). We were seated at a weird long and tall table close to other people while several empty booths were available. One drink came wrong and the Aperol Spritz was missing the main ingredient. To be fair, the food was good."
Emilie LARIDAN,1.0,2022 05 31,Unfriendly service... I have just been refused a drink on the terrace with my stroller. It's 4 p.m. the terrace is empty! This is unacceptable! Restaurant not at all family.
David Bainbridge,4.0,2022 05 31,"Dropped in for a bite to eat. We had a couple of cans of Rabaska cider, a steak and a small beef tartare The steak was on the tough side according to my wife, the beef tartare was just right, and the cider was excellent. The bill was a shock though. Including tax and tip it came to just over 93 dollars! Maybe that's just a reflection of how things are now."
Ilan Arbel,5.0,2022 05 31,
Olivier Côté,5.0,2022 05 31,"It's not haute cuisine, but it's good, not too expensive, the atmosphere is there and the staff is friendly. They are managing COVID sanitary measures well."
Mathieu Péloquin,5.0,2022 05 31,
Hannah,5.0,2022 05 31,"Delicious food ! I had the lobster roll and it was some of the tastiest lobster I've had! Service was a tad slow, however it was pretty busy so I wouldn't knock a star down for that. Had a great time, would go back!"
Davy Zou,4.0,2022 05 31,
Alex Teron,2.0,2022 05 31,"Ambience was great and service was good, but I do have to say that I was very disappointed about the food. I know its hard times ""post covid"" but I ordered chicken tenders and they looked like they came from a starving chicken... 4 strips the size of your pinky and fries for $18... was not impressed but was told that is how they come..."
Gaby Marion,4.0,2022 05 31,
Francesca Morlion,5.0,2022 05 31,
Dion MacConnell,4.0,2022 05 31,
Bipul Barua,5.0,2022 05 31,
Nicolas Hiernard,4.0,2022 05 31,
Cam Lan,5.0,2022 05 31,Melissa gave us exemplary service. thanks again
Marlee Itovitch,5.0,2022 05 31,"Went with few friends last Sunday, and had an amazing time! Had the cider sangria 10/10 so good, appetizers variety 10/10super atmosphere especially if you are a sports fan. We definitely go again."
D Pineault,4.0,2022 05 31,Nicer location with a nice exterior patio area. Staff were very friendly. Food was good. My only complaint was the service was slow.
Marie Garnier,5.0,2022 05 31,Service and a warm welcome by Lucas. Thanks very much! We will come back
Diana Cruz,5.0,2022 05 31,
GGREG Grégoire,5.0,2022 05 31,An excellent aperitif with impeccable service!
The Grey,4.0,2022 05 31,"The service & the meat was good. Losing one star because of the fries, it was not good as expected. I love the free popcorn."
Céline Boucher,5.0,2022 05 31,Impeccable service by Tristan and good food ‼
Johanne Comte,4.0,2022 05 31,Very clean place friendly and friendly staff
Artix CSGO,5.0,2022 05 31,"too good, quality service, I recommend!"
Richard Paquette,4.0,2022 05 31,
Bamboocha zomra music,5.0,2022 05 31,"Spicy honey chicken, damn it good 🤤🤤🤤😍😍😍"
Tom's Epic Adventures,5.0,2022 05 31,
Sylvain Cayer,5.0,2022 05 31,Very good service
Sonia Coulombe,4.0,2022 05 31,
Déconnecté,4.0,2022 05 31,Water that tastes like chlorine
George Tali,5.0,2022 05 31,
Richard Doyle,4.0,2022 05 31,Nice atmosphere for a tennis match
William Beaudry,4.0,2022 05 31,Long wait but worth it!
Martin Bergeron,5.0,2022 05 31,Very good service
Normand Bélisle,4.0,2022 05 31,"Nice place, nice terrace."
André Bergeron,5.0,2022 05 31,Excellent healthy club sandwich!
Marina Haeusler,5.0,2022 05 31,
Kenya Blanco,4.0,2022 05 31,The burger was very good and the desserts were delicious. Great place for watch sports.
Alice Roussy,4.0,2022 05 31,Good meal and great service.
Natalia T. Dominguez S.,4.0,2022 05 31,
Sabri,5.0,2022 05 31,"Good food, good ambiance especially when the Montréal canadiens are playing."
Erik Juarez,1.0,2022 05 31,
Iain Baird,5.0,2022 05 31,
Sarah Boudreau,2.0,2022 05 31,"The cage somehow tries to offer gourmet meals, but they are wrong on all counts. Excessive prices, poor quality food, my experience can be summed up in one word: disappointment. It makes you wonder if the cooks have any judgment. Luckily there was popcorn, I was able to get something in my stomach… Stick to the chicken wings, the only successful dish on our table. As long as you go to the cage, stay home."
Yan Fréchette,3.0,2022 05 31,A little disappointing not to offer a non-alcoholic beer in a restaurant in 2022…
Mike Pro,3.0,2022 05 31,Good but very expensive A burger with a mini fries for $23 is abusay
Pierre Samson,4.0,2022 05 31,Very cool ! The beer is good and the wings are great!
Alex,2.0,2022 05 31,"I didn't like it, we went for office lunch with colleagues got there at around noon 10 and basically we got our food 10 minutes before one. I ordered a club sandwich with a Ceasar salad. With 15% tip it went out there with. 40$ bill and I just had water. The prices are insane, the food is okay at best, you could probably find better 10$ meals at a food court. My club looked liked a regular sandwich...it was just odd all around. Would not recommend. Seems more.like a tourist trap at a nice venue good location but just stay away. One of.my college ordered a Guinness and they didn't even have that... Bad all around, stay away!"
Isabel Tames,2.0,2022 05 31,"We order chicken wings in door dash to watch a football match, because we like them. Unfortunately the ones on the bottom were old, dry and hard, really bad for a business to do that to loyal customer or any customer. Ordering delivery is not cheap to have this kind of surprises, and deliver like this is dishonest."
Char L,1.0,2022 05 31,"We went at 330 to eat but the whole place was reserved. The lady told us to come back at 4 and there would definitely be room. We asked if there was a waitlist or reservation and she assured us if we just came back at 4, there'd be lots of room. We waited around the mall for 30 minutes to come back to a huge line up and the girl adding everyone to a waitlist. We weren't able to be added to the waitlist so we ended up leaving. Don't waste your time here."
Stéphane Corriveau,3.0,2022 05 31,
Rafael Lealdini,4.0,2022 05 31,An amazing place with an incredible food!! They gave you popcorns hehehe
Roberto Gallo,5.0,2022 05 31,
Marco Alvarado,3.0,2022 05 31,It was okay 👍🏻
Jean-René Marcoux,4.0,2022 05 31,
Plante Daniel,4.0,2022 05 31,
Bill Lytwynchuk,2.0,2022 05 31,
val kob,5.0,2022 05 31,LOVED the free popcorn! Had a lot of fun there with my friends and the food was really tasty. The staff is very nice and the atmosphere is relaxed! Would love to go again.
Denis Rivard,5.0,2022 05 31,
cyberpat007,5.0,2022 05 31,
Jorgelina María Doino,5.0,2022 05 31,The best burger. Excellent attention. Nice place.
Vinicius Assumpcao,5.0,2022 05 31,
karim alami,3.0,2022 05 31,The kitchen is already closed at 9 p.m. on a festival evening at place des arts!
joy,3.0,2022 05 31,🍿 🍿 nice place to come too you should try it!You get free popcorn
Mia Lee,4.0,2022 05 31,
Olga Mikhalchuck,2.0,2022 05 31,"Unfortunately the management does not follow the rules of the government. Two people from different addresses can not come with their children, though in the rules for the red zone it is written ""Maximum of 2 people from different addresses at the same table, may be accompanied by their children under the age of 18. "" (Please, see the screen shot of the rules attached). When I asked to book 2 tables for us in this case providing all contact information they required, they refused, as: -two tables if people who know each other could not be near even though there is a 2m distance (Nothing is written in the rules about it.) - the second table should be booked by another person and he/she should be presented in the brasserie in person. At first the manager told me that these are the rules of the red zone. When I showed him what is in fact written in the rules, he told that they do not care, they have their own rules then. P.S.: At first I wanted to put 1 star, but then changed it to 2 stars, as I was in La Cage breweries before and really liked the atmosphere there, unfortunately it turns to be toxic now. Hope they will fix it soon."
Sebastian Perdomo,5.0,2022 05 31,Melissa is the best !!!!!! 🏽
Pierre Delombreaux,1.0,2022 05 31,Staff is rude
Victor Ruggi,5.0,2022 05 31,Friendly staff!
erick ouellet,5.0,2022 05 31,
Samuel Beausoleil,4.0,2022 05 31,
Felipe Morales-Siordia,5.0,2022 05 31,A fun family outing with lots of screens for Dads to enjoy sports while out with the family
Justin Cusson,5.0,2022 05 31,
Steven Karimi,1.0,2022 05 31,"I went there for lunch, but they told me you have to wait one hour."
Will Stanwyx,4.0,2022 05 31,Pints are very expensive (even for downtown Montreal). But worth it.
Dannia Parra,3.0,2022 05 31,"On the terrace Salmon Poké plus Aperol Spritz, this restaurant has an incredible capacity. At the entrance in front of me there were 5 hosts they were chatting so I got ignored. It's better to have one caring person than 5 not knowing what to do with a single customer. 😅 The food is not the best gastronomic experience, but the terrace, the place, the table service is worth the visit. Value for money makes sense and I really appreciated my server who showed professionalism at all times. He and the rest of the servers deserve the 5 stars."
Assaf Bar Moshe,5.0,2022 05 31,
Andréanne Ma,4.0,2022 05 31,Good location. It took an hour to get our meal.
Sylvain Fortie,5.0,2022 05 31,
Merveille MONGBO,5.0,2022 05 31,
Trevor Gelowsky,4.0,2022 05 31,
Fred D,5.0,2022 05 31,
Dr. Dmitrii Paniukov,5.0,2022 05 31,"Nice service, great location, tasty food. Will certainly come back."
Geny Taffot,5.0,2022 05 31,
PersianDutch,4.0,2022 05 31,Lovely atmosphere. They serve free popcorn too 😉
Napoleon Fortin,5.0,2022 05 31,
Louise Décultot,5.0,2022 05 31,
Paul Boucher,4.0,2022 05 31,"Great service, great gentlemen/gentlewoman. Brie and mushroom burger was delicious, the wings cooked to perfection and the poutine correct."
Ed Mckay,4.0,2022 05 31,"Solid food, friendly very fast ,given how busy fish is real cod as it should be!"
Kmae,3.0,2022 05 31,Just your basic bar restaurant that you can dine and watch the games. Classic bar food and drinks which you can’t go wrong with
Connor,1.0,2022 05 31,Terrible
Nathalie Guimond,3.0,2022 05 31,
A C,5.0,2022 05 31,Long Island iced tea was gooooooooood!
Ismaël Traoré,5.0,2022 05 31,
Nadine,5.0,2022 05 31,Very central and best place the watch the game!
Alilou Alilou,5.0,2022 05 31,
Alex M,4.0,2022 05 31,
Mike C,5.0,2022 05 31,Great spot. Staff was amazing!
Cathi MacConnell,4.0,2022 05 31,Courteous staff and good food😃
Raofin,4.0,2022 05 31,"Good good, good place"
Deepak Jain,3.0,2022 05 31,
Sayala,5.0,2022 05 31,Cozy place for beer and food. I enjoyed it !!!!!!
Guy Lessard,4.0,2022 05 31,
Yashar B,4.0,2022 05 31,"Beautiful place and very friendly staff, especially Saskia!"
Tathiane Capelin,5.0,2022 05 31,
Reda Mejber,5.0,2022 05 31,
OTHMAN ALSHATTI,5.0,2022 05 31,"Great sports atmosphere, good food and great service"
Raphael Robidoux-Bouchard,5.0,2022 05 31,
DAY DREAMER,5.0,2022 05 31,Great Ambiance Nice Staff
Lilia Leveille,5.0,2022 05 31,
Mouloud Idir,3.0,2022 05 31,
Natasha Calvinho,3.0,2022 05 31,Food was okay service was really slow :(
james chedore,5.0,2022 05 31,
Sébastien Chicoine,5.0,2022 05 31,Good tartare!
Nicolas Lajule,4.0,2022 05 31,
Cindy Tremblay,5.0,2022 05 31,The tartare is the best
Ana Sofía Escobar,5.0,2022 05 31,Great service :)
Luis Medina,5.0,2022 05 31,"Great attention, enough selection of beer, it's big and massive screens to watch your favourite sport"
Claire Bayet,4.0,2022 05 31,
Justin Gervais,5.0,2022 05 31,Excellent service throughout the evening. Nice atmosphere and nice decoration. The food and drinks were excellent!
Peter Ennis,5.0,2022 05 31,Great place to see tennis!! I love this sportsbar. Awesome selection of beers!
Christian Rodriguez,5.0,2022 05 31,
Loïc Aubin,5.0,2022 05 31,"Very good service, tasty food, cocktail menu with Quebec spirits, of good quality."
Salumi Vino,5.0,2022 05 31,Service is always great. Pub food is consistently good. Nice terasse and great ambience.
Lord Rafikiii,5.0,2022 05 31,
Hagop Dndlian,5.0,2022 05 31,
Achraf Douiri,5.0,2022 05 31,
Sonson Clement,3.0,2022 05 31,
Matteo Spallarossa,5.0,2022 05 31,
Mike Suares,5.0,2022 05 31,
Alegria Castro,1.0,2022 05 31,One hour wait in reception. One hour sitting in the table and our order never arrived! The manager comes to tell us that there is a problem in the kitchen... But why does no one offer a solution before... Why have to wait an hour to be served?? Really disappointing service... Time wasted! Unfortunately this is the last time I'll be back here.
Juliette Fong,3.0,2022 05 31,Fish taco was great when I finally got it. It Was a take out order but after waiting over half an hour I asked the bartender if it was ready she went into the kitchen to find it
Blizter47,1.0,2022 05 31,"Appalling service. The waitress speaks badly to you, it takes 1 hour to respond to your request (1 hour for napkins, another hour for 1 glass of water, and 1 hour for a pitcher of beer). With hindsight, I shouldn't even have given any tips. In addition the same waitress manages to make a mistake counting two pitchers of beer when we had ordered only one. A similar story happened with the group of 8 next to us, they had a lot of double billing. Managers on duty try to recover from staff mistakes as best they can... One thing is for sure, last night is the last time I'm going back there."
Sivlouis Ly,5.0,2022 05 31,
Alexander Browne,1.0,2022 05 31,Come here to watch the NHL playoffs and the manager won’t even put the sounds on in the bar claiming it’s not the ambiance they’re looking for. La Cage au SPORT
Akl ELITE CORP,1.0,2022 05 31,"Extremely bad service. We have tried to eat there 5 times. They close at 4pm, we arrived at 2:50pm and they told us at the entry that they are not taking anymore requests for today. They don't care about people's time. Really insulting."
Sonia Konza,3.0,2022 05 31,"I especially appreciated the atmosphere, the decor, the service, the cleanliness and the location of the restaurant. I easily found parking on de la Gauchetière. However, I do not recommend the cocktails. Their quality, presentation and dosage are poor. My Parisian colleague says it's the best wings in Montreal, who says better?"
Alejandro Chacón,1.0,2022 05 31,"One hour of waiting after ordering, after asking why it took so long to get the order, they told us that there were no more Nachos (ordered as a starter), ok, we cancel the starter, 15 min later, they inform us of a kitchen problem, it will take longer for the strong dishes, so we didn't eat. At least the free beer."
Jeremy Latreille,3.0,2022 05 31,"Definitely not a place to eat a steak the cooking was perfect it is rather the piece of meat... the quality leaves something to be desired. Exemplary service everyone smiling, clean table, good choice of beer I might like to go back for a meal during a hockey game (nachos beer chicken wings)."
Stephane Lempereur,4.0,2022 05 31,
amal drissi,4.0,2022 05 31,
Émile Durand,1.0,2022 05 31,"Honestly one of the worst foods I've eaten in a long time. I'm really not picky about food, but I've rarely seen this. Inedible fries, salads (soft croutons as not possible) and really very ordinary burger. In addition, a few people in my group were seriously ill the next day. It is not a coincidence. Run away at full speed"
Garth,5.0,2022 05 31,Fabulous meal great conversation and very friendly staff. Worth every penny for the steak cooked to perfection
Adel Yakhelef,1.0,2022 05 31,"Worst service! Went on this Dec 7, 2021. The waitress, a petite blonde named Emma, ​​was grossly incompetent. I waited more than an hour for a drink while she was hugging customers, I had to ask her twice. At the time of the addition, surprise, she made a mistake and when we pointed it out to her, she replied to sort it out for you, it's the same. The height, she added things to us that our table did not order and it was an obstacle course to be reimbursed. Surprised, she made a mistake and added things to the surrounding tables. One had over $100 added because she hadn't taken payment from someone who left earlier. Really very disappointed and of course not to go"
Janan Issa,4.0,2022 05 31,
Thierry Lachance,5.0,2022 05 31,"Wow just wow…a nice plate, fresh vegetables, it looks good and THESE GOOD! New menu the pledge a 5 stars good job!"
Noor A,1.0,2022 05 31,"We were rejected service and entry for no logic reason, although there were empty tables. Very racist manager and staff."
Steve Lapierre,5.0,2022 05 31,
Robert Ladouceur,1.0,2022 05 31,"Sorry but this is a dump, terrace look like garbage, can't believe the city tolerate this"
Ariana López,5.0,2022 05 31,
Victoria Malenfant,4.0,2022 05 31,
yu chiao Liao,3.0,2022 05 31,The cocktails are not good.
Armin Mir,1.0,2022 05 31,They don't care about your time. They simply denied what they said over the phone and ruined our evening. Really unprofessional management
Charlie Gonzo,5.0,2022 05 31,"Yes, there are a plethora of bars to watch sports in Montreal. But this Cage is special... it's all about the staff! This team is wonderful. They never stop; like a Barry Sanders in his prime who runs endlessly. And the employees display an infectious smile at all times. Admittedly, it's often very busy & demanding in this part of town, but this dream staff knows how to create a festive atmosphere at all times. My tributes also to Gabrielle and her legendary service (the Cage will have to send her to the Pantheon at the end of her career)!"
Wayne McCullough,5.0,2022 05 31,Great place! Great food and atmosphere! Olivia is the best server!
JoAguilar Trim,5.0,2022 05 31,"Sports bar very well placed, nice ambience. Lots of different types of possibilities together share or just eat yourself."
Lesly St-Louis,5.0,2021 05 31,I work at La cage...he works at the cage...
Ar no Eguin,5.0,2021 05 31,"Quite a surprise! In the middle of the week I went with my family and had a good evening my great amazement remains the plate... I don't know who takes care of the menus but for my part I fell out of my chair I chose the goat cheese quinoa salad .. a real treat. Congratulations to your new card, it's daring and it matches, thank you."
Suzanne St-germain,5.0,2021 05 31,It's always a pleasure to go back and even with the new measures taken for covid-19. Impeccable service.
naveen yes,4.0,2021 05 31,
René pétillon,5.0,2021 05 31,Good service to bring. Staff.the nice.the
Karim Guessous,5.0,2021 05 31,In this troubled time Coronavirus
Diptish Banerjee,5.0,2021 05 31,
Hala Sebti Kohen,5.0,2021 05 31,Very pleasant terrace Good service I start again
Keith Chatman,5.0,2021 05 31,
Masa Alrefai,5.0,2021 05 31,I love La Cage! Perfect to go to spot that makes everyone happy. The menu includes a variety of comfort foods and food options for everyone. They serve few popcorn at the beginning which is great. Their wings are AMAZING. Service is always great. Love this place! Always enjoy my time here
Arnold Fournier,4.0,2021 05 31,
Elodie Pelletier,2.0,2021 05 31,I returned my plate of nachos twice since it had no cheese.... I took the plate of salmon tartare as a meal and unfortunately the plate is not larger than the entry they simply add fries and a salad for $10 more .... very disappointed for $29 .... The cage has been lost over the years. The prices have increased a lot and the dishes have reduced .... it was the last time I ate here
Eric Champagne,5.0,2021 05 31,
Khanh Bao,5.0,2021 05 31,
Jeanne B. d'Arc,3.0,2021 05 31,"My fiance had chicken wings and I the mushroom spinach beef burger. The burger pattie was burnt, hence the bottom piece of bread that held the spinach had weird black oily stains We wanted to send the burger back but the server never made it back to our table (understandable the place was packed). To be honest I was shocked that a place this popular has burgers that you needed to drown in condiments to get any flavor. Then as a we were leaving I decided to go to the bathroom and as I walked towards the bathroom past the bar I had a bizarre encounter with a confrontational male server who cut me off asking me where I was going....I said the washroom and walked past him. From the central location where he cut me off I could have been headed to the bar, dining room or washroom...I thought it was very strange. Needless to say there isnt anything about this location that made me wanna ever go back, maybe the Quebec brewed beers but we shall see 😩🤷‍♀️"
Steve Baillargeon,5.0,2021 05 31,I have been there a couple of times with my girlfriend in the past. This is a very good restaurant located in one of my favorite corners of Montreal.
marlene trudel,2.0,2021 05 31,Very expensive for not much
Amélie Surace,3.0,2021 05 31,
Rishab Bhalla,5.0,2021 05 31,
Marie Veilleux,5.0,2021 05 31,"Very good service from the employees, I took orders to take away (ribs and chicken wings) delicious."
Marc Boilard,5.0,2021 05 31,Best Cage. Always fun to be there.
E Garcia,5.0,2021 05 31,Good tartar fast service very good service with our waiter.
Juan Sanchez,4.0,2021 05 31,
Mohamed DJEMAI,5.0,2021 05 31,
Lanaine Woods,1.0,2021 05 31,Nachos ...... it's hard no cheese half sauce yen as for 4 chips forgot the salad yes leaves something to be desired not badly!!!!
Valérie Desgagné,5.0,2021 05 31,"Congratulations to the cage aux sport team at Complexe Desjardins. We did a take out for our family and it was really very well presented... small personalized words on our bags, all the condiments, sauce... nothing was missing... Even a bag of PoP Corn... the children were very happy. Bravo for these little attentions, people appreciate."
Maiwand Rahime,1.0,2021 05 31,Akhhhhh!!!!! Awful!
Alex,4.0,2021 05 31,
Christophe Nguyen,5.0,2021 05 31,
Aleksandra Jovanovic,5.0,2021 05 31,
Ariel Gauthier,5.0,2021 05 31,
HANDY MAN,4.0,2021 05 31,Nice customer services
SANTILEONX,5.0,2021 05 31,
Emma Brin,5.0,2021 05 31,
S K,5.0,2021 05 31,"Been to most La Cage, here is the best."
Marc Dufour,4.0,2021 05 31,Delicious !
Harshal Brahmbhatt,3.0,2020 05 31,
Faysal Khelouati,1.0,2020 05 31,Really disappointing..
zigor garate,5.0,2020 05 31,
Meellyzaa Michel,3.0,2020 05 31,
Yan Gee,4.0,2020 05 31,"Good food, good service, nice atmosphere"
Mathieu Laroche,2.0,2020 05 31,
david beauregard,5.0,2020 05 31,
P K,3.0,2020 05 31,
Sadaf Kh,4.0,2020 05 31,
Denis Rozhnev,5.0,2020 05 31,
Frederic Benoist,4.0,2020 05 31,
Tatanka Oyate,1.0,2020 05 31,
Ben Mnsi,4.0,2020 05 31,
Malok Akmed,1.0,2020 05 31,"Lack of kindness,,,, refused to serve...."
Patrick Forget-Alary,4.0,2020 05 31,"Good atmosphere, courteous service."
Virginia Darrow,4.0,2020 05 31,
Ирина Теологова,1.0,2020 05 31,
Analú Moreno,4.0,2020 05 31,"Good service and food. It's not the best, but it has a variety on the menu."
mariana lgu,1.0,2020 05 31,bad service!!!!!!
Samuel Bellini,1.0,2020 05 31,"Horrible service, I'd like some explanations."
Jonathan Johnson (Jay),5.0,2020 05 31,Good wings & great service
Philly C,2.0,2020 05 31,"Food is definitely better than before... But overpriced... in this city you can definitely get better quality at the price they are charging Conveniently located in the complex Desjardins. Popcorn is free Drinks are on the expensive side ... They cancelled my reservation the night before a big event, only explanation was they were overbooked... defeats the purpose of booking in advance... offered zero compensation barely an apology. Most likely going to avoid this place going forward."
Josee Martin,2.0,2020 05 31,"Great atmosphere, impeccable food! On the other hand, you lose all your points on the service. No smile, she only takes the order! We had more services with the girl picking up the tables!! It's very ordinary! But as there are lots of people you know you'll make money anyway! (Tip) but read all the comments on the services! That answers all my questions!!!"
MorganWD,1.0,2020 05 31,Spider in water picture. Also the soup was to peppery
Gc C,1.0,2020 05 31,"Nothing but rudeness from the lady with the eye glasses at the terrace, didn't know her name.( the one who is seating people)Thanks and never again"
